word,score
http,0.053180861
co,0.049821875
turkey,0.04578387
rt,0.042752566
syria,0.038856418
kill,0.030340184
army,0.029335861
isi,0.026866707
libya,0.025700715
turkish,0.025415595
rt,0.066768688
http,0.064962645
co,0.06063032
kasimf,0.039590051
nusra,0.036054643
alomar,0.034560291
mousa,0.03443456
wa,0.032177494
jazrawi,0.031151848
al,0.028203653
de,0.1133521
le,0.106475905
la,0.067186728
est,0.062511468
co,0.051839066
http,0.051390693
un,0.048564754
je,0.044116962
et,0.04054906
pa,0.039603048
ibn,0.187743787
hashimi,0.072965816
rt,0.066704041
salman,0.06558107
haneefah,0.058827448
prayer,0.053352935
short,0.049945599
hadith,0.049945599
quran,0.049945599
bin,0.048081497
taliban,0.218596488
kashmir,0.116989811
afghanistan,0.090396906
pakistan,0.085052316
afghan,0.06400937
http,0.060175427
co,0.05744136
kashmiri,0.042222769
khaama,0.038010121
pakistani,0.036570511
uncle,0.365063125
sam,0.357672399
coco,0.356017212
obama,0.224202442
cc,0.070194314
president,0.044578718
via,0.040620828
syria,0.04051314
thank,0.039415527
liar,0.038563451
earthquake,0.419379441
magnitude,0.146804361
taiwan,0.141787936
tsunami,0.137897183
warn,0.107878468
abc,0.102583427
flooding,0.102583427
via,0.101079734
tornado,0.097869574
massive,0.093505791
lightpenetrate,0.618285119
tawheedall,0.424932719
lightpenetrated,0.309682857
sahaba,0.274793386
saud,0.190948963
british,0.170354385
muhammad,0.164489701
bin,0.157482513
ali,0.155485068
photograph,0.154841429
